   75600,2023-03-02 03:00:00,         409, -64.64684,********,         63.047,          2226.485, 1.169
   75600,2023-03-02 03:00:00,         142, -64.53544,********,          0.000,             0.000, 0.000
   79200,2023-03-02 04:00:00,         378, -64.71899,********,         32.557,          1149.744, 0.749
   79200,2023-03-02 04:00:00,         409, -64.64684,********,         58.821,          2077.230, 1.137
   79200,2023-03-02 04:00:00,         142, -64.53544,********,          0.000,             0.000, 0.000
   82800,2023-03-02 05:00:00,         378, -64.71899,********,         30.185,          1065.982, 0.725
   82800,2023-03-02 05:00:00,         409, -64.64684,********,         54.843,          1936.769, 1.104
   82800,2023-03-02 05:00:00,         142, -64.53544,********,          0.000,             0.000, 0.000
   86400,2023-03-02 06:00:00,         378, -64.71899,********,         28.029,           989.818, 0.702
   86400,2023-03-02 06:00:00,         409, -64.64684,********,         51.126,          1805.505, 1.073
   86400,2023-03-02 06:00:00,         142, -64.53544,********,          0.000,             0.000, 0.000
